Country / Territory,ISO3,Region,CPI 2025 score,Rank,Standard error 2025,Number of sources,Lower CI,Upper CI,African Development Bank CPIA,Bertelsmann Foundation Sustainable Governance Index,Bertelsmann Foundation Transformation Index,Economist Intelligence Unit Country Ratings,Freedom House Nations In Transit,Global Insights Country Risk Ratings,IMD World Competitiveness Yearbook,PERC Asia Risk Guide,PRS International Country Risk Guide,Varieties of Democracy Project,World Bank CPIA,World Economic Forum EOS,World Justice Project Rule of Law Index,
Denmark,DNK,WE/EU,89,1,1.8822840000000001,8,85.913060000000002,92.086939999999998,,97.344049999999996,,82.838610000000003,,85.229190000000003,93.082859999999997,,100,75.128910000000005,,93.586219999999997,87.027969999999996,
Finland,FIN,WE/EU,88,2,1.8062860000000001,8,85.037689999999998,90.962310000000002,,97.344049999999996,,82.838610000000003,,85.229190000000003,93.082859999999997,,96.300979999999996,73.759739999999994,,90.563770000000005,84.422150000000002,
Singapore,SGP,AP,84,3,1.5182629999999999,9,81.510050000000007,86.489949999999993,,,77.227010000000007,82.838610000000003,,85.229190000000003,90.846369999999993,88.35136,78.146100000000004,73.075159999999997,,99.166160000000005,85.290760000000006,
New Zealand,NZL,AP,81,4,2.0363850000000001,8,77.660330000000002,84.339669999999998,,87.171629999999993,,82.838610000000003,,85.229190000000003,72.446119999999993,,96.300979999999996,74.444329999999994,,68.941509999999994,82.684939999999997,
Norway,NOR,WE/EU,81,4,1.6181719999999999,8,78.346199999999996,83.653800000000004,,87.171629999999993,,82.838610000000003,,85.229190000000003,78.647310000000004,,87.22354,74.444329999999994,,67.081540000000004,84.422150000000002,
Sweden,SWE,WE/EU,80,6,2.5253939999999999,8,75.858350000000002,84.141649999999998,,87.171629999999993,,82.838610000000003,,85.229190000000003,70.717920000000007,,96.300979999999996,74.444329999999994,,60.804119999999998,84.422150000000002,
Switzerland,CHE,WE/EU,80,6,2.1945260000000002,7,76.400980000000004,83.599019999999996,,87.171629999999993,,82.838610000000003,,71.925920000000005,87.491619999999998,,87.22354,73.759739999999994,,68.476519999999994,,
Luxembourg,LUX,WE/EU,78,8,2.1926169999999998,7,74.404110000000003,81.595889999999997,,,,66.723879999999994,,71.925920000000005,78.647310000000004,,87.22354,73.075159999999997,,89.40128,78.341899999999995,
Netherlands,NLD,WE/EU,78,8,2.4039060000000001,8,74.057590000000005,81.942409999999995,,56.654359999999997,,82.838610000000003,,71.925920000000005,88.813190000000006,,87.22354,73.759739999999994,,84.053839999999994,80.079120000000003,
Germany,DEU,WE/EU,77,10,1.85484,8,73.958060000000003,80.041939999999997,,76.999210000000005,,82.838610000000003,,71.925920000000005,88.813190000000006,,78.146100000000004,73.759739999999994,,61.269109999999998,79.210509999999999,
Iceland,ISL,WE/EU,77,10,3.963409,5,70.500010000000003,83.499989999999997,,,,66.723879999999994,,71.925920000000005,95.116039999999998,,78.146100000000004,73.759739999999994,,,,
Australia,AUS,AP,76,12,1.429308,9,73.655940000000001,78.344059999999999,,66.826779999999999,,66.723879999999994,,85.229190000000003,73.971010000000007,88.153369999999995,78.146100000000004,73.075159999999997,,73.82396,80.079120000000003,
Estonia,EST,WE/EU,76,12,1.0700259999999999,10,74.245159999999998,77.754840000000002,,87.171629999999993,85.824129999999997,66.723879999999994,74.056209999999993,71.925920000000005,78.342330000000004,,69.068659999999994,73.075159999999997,,80.798879999999997,75.736080000000001,
Hong Kong,HKG,AP,76,12,2.420668,8,72.030109999999993,79.969890000000007,,,,82.838610000000003,,58.821210000000001,90.948030000000003,78.947050000000004,69.068659999999994,69.652230000000003,,86.843800000000002,73.130260000000007,
Ireland,IRL,WE/EU,76,12,1.2778149999999999,8,73.904380000000003,78.095619999999997,,76.999210000000005,,66.723879999999994,,71.925920000000005,85.865089999999995,,78.146100000000004,73.075159999999997,,77.776409999999998,77.473299999999995,
Canada,CAN,AME,75,16,1.9593739999999999,8,71.786630000000002,78.213369999999998,,87.171629999999993,,82.838610000000003,,71.925920000000005,74.174319999999994,,78.146100000000004,73.075159999999997,,58.246639999999999,76.604690000000005,
Uruguay,URY,AME,73,17,1.3204089999999999,7,70.834530000000001,75.165469999999999,,,81.525570000000002,66.723879999999994,,71.925920000000005,,,78.146100000000004,71.70599,,73.591470000000001,70.524439999999998,
Bhutan,BTN,AP,71,18,2.0631940000000002,4,67.61636,74.38364,,,72.928449999999998,,,71.925920000000005,,,,64.175539999999998,75.118769999999998,,,
Japan,JPN,AP,71,18,2.4891239999999999,9,66.917839999999998,75.082160000000002,,46.481940000000002,,66.723879999999994,,71.925920000000005,67.871480000000005,79.738990000000001,59.991210000000002,71.0214,,92.423739999999995,78.341899999999995,
United Kingdom,GBR,WE/EU,70,20,1.5762309999999999,8,67.41498,72.58502,,76.999210000000005,,66.723879999999994,,71.925920000000005,57.705590000000001,,69.068659999999994,72.390569999999997,,66.616550000000004,80.079120000000003,
Austria,AUT,WE/EU,69,21,1.246618,8,66.955539999999999,71.044460000000001,,66.826779999999999,,66.723879999999994,,58.821210000000001,76.614140000000006,,69.068659999999994,67.598460000000003,,70.103999999999999,74.867469999999997,
Belgium,BEL,WE/EU,69,21,1.4145369999999999,8,66.680160000000001,71.319839999999999,,66.826779999999999,,66.723879999999994,,71.925920000000005,76.919110000000003,,69.068659999999994,73.075159999999997,,56.851660000000003,73.998869999999997,
United Arab Emirates,ARE,MENA,69,21,2.2453280000000002,8,65.317670000000007,72.682329999999993,,,60.032760000000003,66.723879999999994,,58.821210000000001,86.983339999999998,,59.991210000000002,67.598460000000003,,77.776409999999998,71.393050000000002,
Barbados,BRB,AME,68,24,3.120304,3,62.8827,73.1173,,,,,,71.925920000000005,,,,70.33681,,,60.969769999999997,
Seychelles,SYC,SSA,68,24,2.3548469999999999,4,64.138050000000007,71.861949999999993,60.360550000000003,,,66.723879999999994,,71.925920000000005,,,,71.70599,,,,
Taiwan,TWN,AP,68,24,1.7077199999999999,8,65.199340000000007,70.800659999999993,,,81.525570000000002,66.723879999999994,,71.925920000000005,68.786410000000004,62.613239999999998,59.991210000000002,59.38344,,72.893969999999996,,
France,FRA,WE/EU,66,27,1.8317399999999999,8,62.995950000000001,69.004050000000007,,66.826779999999999,,66.723879999999994,,58.821210000000001,55.469099999999997,,78.146100000000004,71.70599,,56.619169999999997,70.524439999999998,
Lithuania,LTU,WE/EU,65,28,1.608554,10,62.361969999999999,67.638030000000001,,66.826779999999999,72.928449999999998,50.60913,66.61157,58.821210000000001,68.888059999999996,,50.91377,63.490949999999998,,84.518829999999994,69.655829999999995,
Bahamas,BHS,AME,64,29,6.5608890000000004,3,53.240139999999997,74.759860000000003,,,,,,58.821210000000001,,,78.146100000000004,,,,54.889519999999997,
United States of America,USA,AME,64,29,2.6385139999999998,9,59.672840000000001,68.327160000000006,,66.826779999999999,,66.723879999999994,,85.229190000000003,50.691139999999997,36.776130000000002,69.068659999999994,71.70599,,62.199100000000001,69.655829999999995,
Brunei Darussalam,BRN,AP,63,31,5.6295060000000001,3,53.767609999999998,72.232389999999995,,,,,,71.925920000000005,,,50.91377,,,64.756569999999996,,
Chile,CHL,AME,63,31,2.333968,8,59.172289999999997,66.827709999999996,,,81.525570000000002,66.723879999999994,,58.821210000000001,48.454639999999998,,59.991210000000002,69.652230000000003,,53.364199999999997,63.575589999999998,
"Korea, South",KOR,AP,63,31,1.5153920000000001,9,60.514760000000003,65.485240000000005,,,60.032760000000003,66.723879999999994,,58.821210000000001,48.962940000000003,57.26764,75.967510000000004,64.175539999999998,,62.431600000000003,70.524439999999998,
Saint Vincent and the Grenadines,VCT,AME,63,31,1.9492430000000001,3,59.803240000000002,66.196749999999994,,,,,,58.821210000000001,,,,,63.138199999999998,,66.18141,
Cabo Verde,CPV,SSA,62,35,4.2332320000000001,5,55.057499999999997,68.942499999999995,55.341760000000001,,,,,71.925920000000005,,,,57.329680000000003,75.118769999999998,47.784269999999999,,
Israel,ISR,MENA,62,35,2.599745,5,57.736420000000003,66.263580000000005,,66.826779999999999,,66.723879999999994,,58.821210000000001,,,50.91377,66.913880000000006,,,,
Dominica,DMA,AME,60,37,1.7460439999999999,3,57.136490000000002,62.863509999999998,,,,,,58.821210000000001,,,,,63.138199999999998,,56.626739999999998,
Latvia,LVA,WE/EU,60,37,2.11327,10,56.534239999999997,63.465760000000003,,76.999210000000005,72.928449999999998,50.60913,66.61157,58.821210000000001,58.315550000000002,,50.91377,70.33681,,31.741959999999999,65.312809999999999,
Czechia,CZE,WE/EU,59,39,0.8748958,10,57.565170000000002,60.434829999999998,,56.654359999999997,60.032760000000003,50.60913,62.88926,58.821210000000001,63.195169999999997,,50.91377,68.283050000000003,,58.014150000000001,62.706980000000001,
Saint Lucia,LCA,AME,59,39,7.9229690000000002,3,46.006329999999998,71.993669999999995,,,,,,45.51793,,,,,75.118769999999998,,55.758130000000001,
Botswana,BWA,SSA,58,41,1.9932620000000001,9,54.731050000000003,61.268949999999997,58.896740000000001,,55.734200000000001,66.723879999999994,,71.925920000000005,39.305349999999997,,69.068659999999994,58.69885,,48.714260000000003,53.15231,
Qatar,QAT,MENA,58,41,3.373996,8,52.466639999999998,63.533360000000002,,,42.838509999999999,66.723879999999994,,45.51793,84.340199999999996,,50.91377,49.799230000000001,,72.196489999999997,50.546489999999999,
Rwanda,RWA,SSA,58,41,2.7792560000000002,7,53.442019999999999,62.557980000000001,69.352549999999994,,47.137070000000001,,,58.821210000000001,,,,46.376300000000001,51.157629999999997,72.661479999999997,60.10116,
Slovenia,SVN,WE/EU,58,41,1.74237,10,55.142510000000001,60.857489999999999,,66.826779999999999,64.331320000000005,50.60913,74.056209999999993,58.821210000000001,43.168379999999999,,50.91377,71.0214,,43.134329999999999,59.232559999999999,
Saudi Arabia,SAU,MENA,57,45,3.8392210000000002,7,50.703679999999999,63.296320000000001,,,38.539949999999997,50.60913,,45.51793,77.427409999999995,,70.521039999999999,52.537579999999998,,67.314040000000006,,
Costa Rica,CRI,AME,56,46,2.8256679999999998,7,51.36591,60.63409,,,72.928449999999998,50.60913,,58.821210000000001,,,41.836329999999997,61.437190000000001,,46.389290000000003,60.969769999999997,
Grenada,GRD,AME,56,46,4.8772849999999996,3,48.001260000000002,63.998739999999998,,,,,,45.51793,,,,,63.138199999999998,,59.232559999999999,
Portugal,PRT,WE/EU,56,46,2.266899,8,52.282290000000003,59.717709999999997,,56.654359999999997,,34.494399999999999,,58.821210000000001,47.641370000000002,,59.991210000000002,64.175539999999998,,60.804119999999998,62.706980000000001,
Cyprus,CYP,WE/EU,55,49,2.243217,6,51.321129999999997,58.678870000000003,,,,50.60913,,58.821210000000001,45.099899999999998,,50.91377,64.175539999999998,,,60.10116,
